Department;Faculty;University;Discount;City;Language;score_last;range_last;score_first;range_first;average_range;average_score
Metallurgy and Materials Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;394;105820;425;76515;405859;306
Aviation Management;Civil Aviation College;Atilim University;100% Discount;ANKARA;Turkish;342;111550;361;76241;62082;440
Energy Systems Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;386;113703;408;91572;401675;253
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;340;117130;358;82058;61812;353
Chemistry Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;328;118793;382;59053;637575;222
Civil Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;381;119145;401;99037;503326;238
Nutrition and Dietetics;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;English;327;120058;338;106302;0;0
Automotive Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;326;121473;366;74241;602398;224
Metallurgy and Materials Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;326;122443;374;66336;602055;224
International Relations;Business Faculty;Atilim University;100% Discount;ANKARA;English;337;122859;343;110210;66231;350
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;310;123063;326;87684;596572;231
Law;Law Faculty;Atilim University;0% Discount;ANKARA;Turkish;353;124525;373;81637;544487;234
Law;Law Faculty;Atilim University;0% Discount;ANKARA;Turkish;310;124842;323;93870;0;0
Physical Therapy and Rehabilitation;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;Turkish;376;125824;444;60020;442492;245
International Trade and Logistics;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;335;129135;344;108113;94240;419
Political Science and Public Administration;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;334;130842;338;121621;93121;334
Aviation Management;Civil Aviation College;Atilim University;100% Discount;ANKARA;English;307;131665;314;114603;1009606;191
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;349;133703;362;105483;443139;246
Aviation Management;Civil Aviation College;Atilim University;100% Discount;ANKARA;Turkish;349;134609;364;100043;403224;249
Civil Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;330;137497;398;65981;202257;365
Nursing;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;English;315;138302;340;104307;0;0
International Relations;Business Faculty;Atilim University;100% Discount;ANKARA;English;347;139979;374;80686;448410;287
Industrial Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;364;140041;424;77188;441849;312
Mathematics;Arts and Sciences Faculty;Atilim University;100% Discount;ANKARA;English;364;140370;370;133009;371446;331
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;304;141177;350;47828;1008434;244
International Relations;Business Faculty;Atilim University;100% Discount;ANKARA;English;302;145383;324;91861;1224636;226
Nursing;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;Turkish;358;147815;374;128259;502474;304
Civil Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;308;149826;339;104592;906300;200
Nursing;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;Turkish;319;153032;350;111713;88403;335
Business;Business Faculty;Atilim University;100% Discount;ANKARA;English;324;157368;329;142131;90320;421
Mathematics;Arts and Sciences Faculty;Atilim University;100% Discount;ANKARA;English;316;159170;338;126618;63940;424
Mathematics;Arts and Sciences Faculty;Atilim University;100% Discount;ANKARA;English;300;163624;305;154108;819446;205
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;English;321;165651;335;129455;89214;422
Business;Business Faculty;Atilim University;100% Discount;ANKARA;English;337;165759;367;93170;539463;233
Business;Business Faculty;Atilim University;100% Discount;ANKARA;English;295;168133;308;129469;0;0
Computer Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;297;170060;392;50411;0;0
Law;Law Faculty;Atilim University;0% Discount;ANKARA;Turkish;319;171047;372;58509;37411;372
Political Science and Public Administration;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;335;171413;352;127620;542262;296
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;English;334;174603;354;124035;444042;315
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;English;292;175688;300;150365;818104;260
Aerospace Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;337;179529;445;59062;361220;260
International Trade and Logistics;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;331;181720;386;57610;543511;233
Software Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;287;189975;333;111982;998243;246
Software Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;298;193678;306;176985;204759;352
Computer Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;326;199179;421;80037;498658;291
International Trade and Logistics;Business Faculty;Atilim University;100% Discount;ANKARA;English;285;200730;348;51428;0;0
Psychology;Arts and Sciences Faculty;Atilim University;25% Discount;ANKARA;English;285;203136;313;116445;602587;288
Psychology;Arts and Sciences Faculty;Atilim University;25% Discount;ANKARA;English;323;206774;380;69080;265030;349
Energy Systems Engineering;Engineering Faculty;Atilim University;100% Discount;ANKARA;English;278;209766;339;104760;641694;225
Business;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;307;211142;316;181149;63118;351
Software Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;318;213140;403;96954;434982;243
Finance;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;306;213511;331;137861;63933;421
Textile and Fashion Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;321;214624;349;135281;372010;262
Aerospace Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;276;214845;374;66349;876917;203
Physical Therapy and Rehabilitation;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;English;274;219573;323;125654;0;0
Political Science and Public Administration;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;279;224146;300;151654;0;0
Business;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;317;227167;346;143267;444947;245
Business;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;278;231590;291;180124;1014640;191
Architecture;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;269;233436;345;97887;688141;217
Finance;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;315;234108;325;200235;503622;301
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;314;236072;316;229998;339837;329
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;300;236532;307;208578;62404;441
Computer Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;280;237554;302;183873;28860;461
Industrial Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;267;238050;356;84998;927967;253
Industrial Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;306;239327;382;118815;394913;253
Industrial Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;266;240205;339;105633;1194582;229
Child Development;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;Turkish;273;249701;286;197613;1000562;237
Mechanical Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;263;250964;343;99933;878887;254
Economics;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;272;255387;281;218075;740719;264
Mechanical Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;298;260517;393;107204;367259;257
Finance;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;271;260632;300;152774;1210203;227
Economics;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;270;264225;270;264225;673168;279
Chemistry Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;291;278730;358;148315;330327;261
Electrical Electronics Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;289;283029;425;76366;438854;244
Electrical Electronics Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;252;283385;342;101041;996565;244
Mechatronic Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;252;284378;342;100907;719906;270
Pilotage;Civil Aviation College;Atilim University;0% Discount;ANKARA;Turkish;264;288516;411;56017;51367;450
Energy Systems Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;251;289370;251;289370;816368;259
Electrical Electronics Engineering;Engineering Faculty;Atilim University;25% Discount;ANKARA;English;263;289465;283;229191;4083;512
Information Systems Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;250;290565;330;116634;887889;260
Civil Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;286;291893;351;157771;372945;323
Physical Therapy and Rehabilitation;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;English;249;294009;249;294009;885466;255
Automotive Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;285;294970;341;173345;345379;327
Metallurgy and Materials Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;285;295814;308;236233;337408;330
Chemistry Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;249;297018;324;124539;1209227;226
Energy Systems Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;284;297610;305;243048;329098;330
Metallurgy and Materials Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;248;298047;272;224109;1210614;227
Automotive Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;248;298079;284;196347;666251;275
Information Systems Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;284;298872;368;135097;394341;308
Civil Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;248;299038;284;195043;731069;270
Mechatronic Engineering;Engineering Faculty;Atilim University;50% Discount;ANKARA;English;283;299859;426;75929;393329;309
Audiology;Health Sciences Faculty;Atilim University;100% Discount;ANKARA;English;244;315507;264;247890;1016917;190
Textile and Fashion Design;Fine Arts Design and Architecture Faculty;Atilim University;100% Discount;ANKARA;Turkish;255;347645;280;219809;638794;222
Aircraft Body and Engine Maintenance;Civil Aviation College;Atilim University;25% Discount;ANKARA;Turkish;268;350397;344;168415;332117;263
Aircraft Electrical and Electronics;Civil Aviation College;Atilim University;25% Discount;ANKARA;English;234;356004;327;120770;806678;263
Pilotage;Civil Aviation College;Atilim University;0% Discount;ANKARA;Turkish;264;366133;446;58168;325824;270
Pilotage;Civil Aviation College;Atilim University;0% Discount;ANKARA;English;231;366378;362;78874;688404;282
Nursing;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;English;231;366462;249;296546;893712;253
Nutrition and Dietetics;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;English;228;375350;256;272808;925232;253
Aircraft Body and Engine Maintenance;Civil Aviation College;Atilim University;25% Discount;ANKARA;English;223;382340;279;206420;721948;215
Mathematics;Arts and Sciences Faculty;Atilim University;50% Discount;ANKARA;English;216;385876;235;350682;719771;267
Industrial Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;208;388493;245;310419;836580;256
Audiology;Health Sciences Faculty;Atilim University;50% Discount;ANKARA;English;208;388499;243;319412;796796;259
Tourism Management;Business Faculty;Atilim University;100% Discount;ANKARA;English;249;389493;277;235686;638930;286
Nutrition and Dietetics;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;Turkish;238;402969;279;240319;54508;427
Nutrition and Dietetics;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;Turkish;254;405358;353;154760;411247;317
Tourism Management;Business Faculty;Atilim University;100% Discount;ANKARA;Turkish;276;408305;315;233785;372011;314
Textile and Fashion Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;245;417096;245;417096;822197;206
Physical Therapy and Rehabilitation;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;Turkish;234;426595;247;358330;149953;309
Industrial Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;245;451525;335;182745;366844;252
Aircraft Electrical and Electronics;Civil Aviation College;Atilim University;25% Discount;ANKARA;English;240;474469;301;252792;367426;256
Psychology;Arts and Sciences Faculty;Atilim University;0% Discount;ANKARA;English;236;489439;266;283608;986993;193
Psychology;Arts and Sciences Faculty;Atilim University;0% Discount;ANKARA;English;261;500363;308;260522;399749;312
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;0% Discount;ANKARA;Turkish;233;509622;233;509622;0;0
Tourism Management;Business Faculty;Atilim University;50% Discount;ANKARA;English;233;510823;248;391269;919013;254
Physical Therapy and Rehabilitation;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;Turkish;233;516954;355;151817;366893;252
Child Development;Health Sciences Faculty;Atilim University;50% Discount;ANKARA;Turkish;232;517065;264;295320;789170;260
International Trade and Logistics;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;251;523748;262;434373;128076;400
Political Science and Public Administration;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;229;534612;271;263453;931717;247
Psychology;Arts and Sciences Faculty;Atilim University;0% Discount;ANKARA;English;248;542579;277;344675;116945;405
International Relations;Business Faculty;Atilim University;50% Discount;ANKARA;English;227;546133;290;183357;882472;253
Public Relations and Advertising;Business Faculty;Atilim University;50% Discount;ANKARA;English;219;548732;270;232965;824523;270
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;227;550250;293;174307;808350;207
Economics;Business Faculty;Atilim University;50% Discount;ANKARA;English;225;558828;269;272625;718605;272
International Trade and Logistics;Business Faculty;Atilim University;50% Discount;ANKARA;English;221;569114;279;224440;932314;248
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;25% Discount;ANKARA;Turkish;251;573710;321;213595;372660;255
Finance;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;218;575268;235;490080;879097;251
Aviation Management;Civil Aviation College;Atilim University;50% Discount;ANKARA;English;217;576226;257;334751;785597;208
Business;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;214;578877;245;418199;813874;265
Aviation Management;Civil Aviation College;Atilim University;50% Discount;ANKARA;Turkish;244;581489;262;437599;6229;510
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;25% Discount;ANKARA;Turkish;209;582388;262;308191;924271;252
Business;Business Faculty;Atilim University;50% Discount;ANKARA;English;208;583316;284;204691;930708;242
Aviation Management;Civil Aviation College;Atilim University;50% Discount;ANKARA;Turkish;248;600030;328;191981;329612;334
Finance;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;240;615153;245;573943;124194;388
Nursing;Health Sciences Faculty;Atilim University;25% Discount;ANKARA;Turkish;220;620105;282;304759;378964;323
International Relations;Business Faculty;Atilim University;50% Discount;ANKARA;English;239;627130;258;469032;127759;381
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;25% Discount;ANKARA;Turkish;239;633587;284;307308;79577;341
Mathematics;Arts and Sciences Faculty;Atilim University;50% Discount;ANKARA;English;216;645519;283;300572;326698;259
Public Relations and Advertising;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;242;673055;276;416168;26689;382
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;0% Discount;ANKARA;Turkish;235;673114;303;223941;150860;375
Interior Architecture and Environmental Design;Fine Arts Design and Architecture Faculty;Atilim University;0% Discount;ANKARA;Turkish;235;715898;250;580377;300599;326
Economics;Business Faculty;Atilim University;50% Discount;ANKARA;English;229;733011;235;669171;121753;382
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;228;779016;325;201464;366993;330
Graphic Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;221;788544;246;566092;226764;286
Political Science and Public Administration;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;208;816006;252;509945;22363;478
Public Relations and Advertising;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;198;818341;310;175360;394489;252
International Trade and Logistics;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;219;884114;306;269206;395580;308
Textile and Fashion Design;Fine Arts Design and Architecture Faculty;Atilim University;50% Discount;ANKARA;Turkish;218;891358;321;215163;325972;322
Political Science and Public Administration;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;218;892929;335;171527;397931;317
International Relations;Business Faculty;Atilim University;50% Discount;ANKARA;English;217;912143;294;318812;367452;326
Finance;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;214;937885;315;235139;368231;314
Tourism Management;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;214;938921;227;797209;326000;319
Business;Business Faculty;Atilim University;50% Discount;ANKARA;English;211;960951;306;266033;395193;307
Economics;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;202;986395;257;533414;309563;335
Economics;Business Faculty;Atilim University;50% Discount;ANKARA;English;200;988331;296;308983;361727;315
Business;Business Faculty;Atilim University;50% Discount;ANKARA;Turkish;192;997353;269;451073;367172;326
Topographical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;0;0;62041;423
Topographical Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;284291;345
Topographical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;0;0;305882;337
Topographical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;0;0;677465;219
Topographical Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;0;0
Psychology;Arts and Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;0;0;332;134987;217278;347
Political Science and Public Administration;Economics and Administrative Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;235;672009;57539;443
Political Science and Public Administration;Economics and Administrative Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;666710;221
Physical Therapy and Rehabilitation;Health Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;0;0;272;260887;37861;372
Physical Therapy and Rehabilitation;Health Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;0;0;0;0;790963;269
Nutrition and Dietetics;Health Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;0;0;286;220490;52567;447
Molecular Biology and Genetics;Arts and Sciences Faculty;Avrasya University;50% Discount;TRABZON;English;0;0;0;0;796356;267
Mechanical Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;287976;342
Mechanical Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;665328;275
International Relations;Economics and Administrative Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;667787;279
Interior Architecture and Environmental Design;Engineering and Architecture Faculty;Avrasya University;0% Discount;TRABZON;Turkish;0;0;305;215850;82311;341
Healthcare Management;Health Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;311148;313
Healthcare Management;Health Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;688655;220
Food Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;287338;330
Food Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;663913;274
Food Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;0;0;739600;213
Finance;Economics and Administrative Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;665499;285
Finance;Economics and Administrative Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;0;0;743357;213
Electrical Electronics Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;663396;281
Civil Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;651390;281
Business;Economics and Administrative Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;0;0;236;661347;42338;456
Business;Economics and Administrative Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;665269;276
Audiology;Health Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;808700;259
Architecture;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;0;0;0;0;665940;283
English Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;344;31967;372;23722;571915;229
English Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;338;32183;358;26238;202036;371
English Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;317;37859;324;35797;1012880;245
English Language and Literature;Arts and Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;244;63158;289;46906;735360;213
Gastronomy and Culinary Arts;Applied Sciences College;Avrasya University;100% Discount;TRABZON;Turkish;349;85230;375;37507;201200;293
Gastronomy and Culinary Arts;Applied Sciences College;Avrasya University;100% Discount;TRABZON;Turkish;338;89087;356;54251;279317;332
Gastronomy and Culinary Arts;Applied Sciences College;Avrasya University;100% Discount;TRABZON;Turkish;306;96390;319;67631;1006952;234
Psychology;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;347;101533;373;57523;228322;355
Psychology;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;363;103486;384;61555;280556;333
Computer Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;339;105165;354;87457;736968;264
Nutrition and Dietetics;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;345;116665;366;93957;59180;442
Interior Architecture and Environmental Design;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;336;124989;348;100554;88944;337
Computer Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;376;125403;417;83139;369666;258
Psychology;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;308;129783;345;55830;643506;286
Architecture;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;334;131413;366;94590;91415;333
Physical Therapy and Rehabilitation;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;332;134731;341;121783;38964;463
Computer Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;330;136878;348;113324;85836;339
Architecture;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;365;138275;415;85536;341137;319
Audiology;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;314;162319;341;121712;39776;451
Nutrition and Dietetics;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;347;163542;397;102638;400206;318
Turkish Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;320;175207;346;93212;127423;395
Child Development;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;317;177091;327;147525;86149;421
Interior Architecture and Environmental Design;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;333;178401;388;54821;443743;306
Interior Architecture and Environmental Design;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;290;183665;307;131274;0;0
Mechanical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;301;187431;307;174561;39517;447
Child Development;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;328;192304;334;174333;369696;312
Nursing;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;285;194359;293;177169;642355;280
Nursing;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;328;194763;346;164779;274131;346
Nursing;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;297;195108;313;163693;201554;352
Electrical Electronics Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;297;196182;300;189306;38687;459
Child Development;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;283;208824;301;148598;815521;262
Social Work;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;305;215856;310;197524;65479;351
Mechanical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;316;217546;320;210905;340912;316
Electrical Electronics Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;316;219003;345;166804;338906;318
Nutrition and Dietetics;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;272;225103;314;139961;1187483;232
Midwifery;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;271;228535;277;212178;0;0
Midwifery;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;309;233709;320;210785;441432;248
Healthcare Management;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;300;235069;320;167043;39815;370
Electrical Electronics Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;308;236005;308;236005;297790;268
Midwifery;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;280;237455;284;227379;86485;424
Architecture;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;267;238212;277;212601;743640;275
Audiology;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;303;246664;345;165617;406309;249
Mechanical Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;264;247528;271;228378;743050;212
Physical Therapy and Rehabilitation;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;302;249445;426;75136;339353;260
Civil Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;275;252627;300;188914;89730;336
Civil Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;300;255275;303;247537;340136;330
Electrical Electronics Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;261;256587;269;232890;737838;273
Computer Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;296;265013;345;166099;327117;322
Food Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;266;281453;271;264964;39051;445
Computer Engineering;Engineering and Architecture Faculty;Avrasya University;50% Discount;TRABZON;Turkish;252;285994;268;235341;663065;282
Food Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;287;288185;288;286199;305751;336
Civil Engineering;Engineering and Architecture Faculty;Avrasya University;100% Discount;TRABZON;Turkish;250;291048;250;291048;741490;270
Physical Therapy and Rehabilitation;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;245;309571;273;223474;1005007;191
Turkish Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;253;327862;259;291292;749505;265
Turkish Language and Literature;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;277;329393;305;192697;448263;243
Social Work;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;257;338071;268;274169;747508;213
Molecular Biology and Genetics;Arts and Sciences Faculty;Avrasya University;100% Discount;TRABZON;English;236;348309;259;263415;1016196;192
Audiology;Health Sciences Faculty;Avrasya University;100% Discount;TRABZON;Turkish;231;365612;256;272686;1213444;225
Nutrition and Dietetics;Health Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;229;371898;246;306458;809238;261
Midwifery;Health Sciences Faculty;Avrasya University;50% Discount;TRABZON;Turkish;229;372357;266;240996;875658;254
Nursing;Health Sciences Faculty;Avrasya University;0% Discount;TRABZON;Turkish;222;382935;261;254667;1169321;227
